name,supplier,prod_key,comp_app_entropy,comp_src_entropy,comp_app_top1_prob,comp_src_top1_prob,comp_expected_heat_total,comp_top_products_json,comp_inferred_apps_json,comp_inferred_srcs_json
PRO_001715,SUP_0122,PROD::PRO_001715||SUP::SUP_0122,1.4755263827765936,1.6448981186819756,0.5203193438611793,0.44256932321641346,9.581650599870036,"{""PROD::PRO_001716||SUP::SUP_0122"": 0.9957445529737673, ""PROD::PRO_001711||SUP::SUP_0122"": 0.9816211312815654, ""PROD::PRO_001712||SUP::SUP_0122"": 0.9807607496614543, ""PROD::PRO_001698||SUP::SUP_0122"": 0.9755814442723209, ""PROD::PRO_001709||SUP::SUP_0122"": 0.578647399828152, ""PROD::PRO_001714||SUP::SUP_0122"": 0.5534355838537522, ""PROD::PRO_004189||SUP::SUP_0279"": 0.5126240977704803, ""PROD::PRO_001710||SUP::SUP_0122"": 0.4794849963146004, ""PROD::PRO_000055||SUP::SUP_0021"": 0.4126178633834986, ""PROD::PRO_001633||SUP::SUP_0115"": 0.388290329262579}","{""银行金融服务"": 0.5203193438611793, ""货币银行服务"": 0.14517749022863408, ""互联网居民生活服务"": 0.1429928827884381, ""医院"": 0.06015882853751936, ""其他农业"": 0.05661192452827432, ""数字政府"": 0.03736976502797745, ""专业公共卫生服务"": 0.03736976502797745}","{""互联网数据服务"": 0.44256932321641346, ""互联网平台"": 0.14299288278843808, ""软件开发"": 0.14223775080677023, ""互联网信息服务"": 0.08068976006662945, ""电信"": 0.07473953005595489, ""医院"": 0.060158828537519346, ""互联网相关服务"": 0.05661192452827431}"
PRO_000732,SUP_0053,PROD::PRO_000732||SUP::SUP_0053,1.2675665702485628,1.4725428606350293,0.6106073919147392,0.5827354794604567,11.505038350014733,"{""PROD::PRO_000731||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000733||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000734||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_003909||SUP::SUP_0256"": 0.45549334751367676, ""PROD::PRO_004608||SUP::SUP_0298"": 0.3717716217266013, ""PROD::PRO_000076||SUP::SUP_0028"": 0.3394249028731715, ""PROD::PRO_000078||SUP::SUP_0029"": 0.2620461512849318, ""PROD::PRO_001194||SUP::SUP_0084"": 0.25943695919766974, ""PROD::PRO_004154||SUP::SUP_0268"": 0.2313455422791053, ""PROD::PRO_001718||SUP::SUP_0123"": 0.22861490056453093}","{""银行金融服务"": 0.6106073919147392, ""数字化商务服务"": 0.14548156210222116, ""金融信息服务"": 0.09712257991007611, ""人身保险"": 0.08847737808481032, ""数字社会"": 0.01805370951972022, ""汽车、摩托车、零配件和燃料及其他动力销售"": 0.01805370951972022, ""数字化社会工作"": 0.011101834474356385, ""房地产中介服务"": 0.011101834474356385}","{""互联网数据服务"": 0.5827354794604567, ""医院"": 0.08847737808481033, ""货币银行服务"": 0.08104517087312507, ""纺织、服装及家庭用品批发"": 0.06593164450553889, ""国家行政机构"": 0.0509011965365974, ""其他批发业"": 0.0503943736026057, ""不提供住宿社会工作"": 0.04440733789742555, ""金融信息服务"": 0.036107419039440446}"
PRO_000731,SUP_0053,PROD::PRO_000731||SUP::SUP_0053,1.2675665702485628,1.4725428606350293,0.6106073919147392,0.5827354794604567,11.505038350014733,"{""PROD::PRO_000732||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000733||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000734||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_003909||SUP::SUP_0256"": 0.45549334751367676, ""PROD::PRO_004608||SUP::SUP_0298"": 0.3717716217266013, ""PROD::PRO_000076||SUP::SUP_0028"": 0.3394249028731715, ""PROD::PRO_000078||SUP::SUP_0029"": 0.2620461512849318, ""PROD::PRO_001194||SUP::SUP_0084"": 0.25943695919766974, ""PROD::PRO_004154||SUP::SUP_0268"": 0.2313455422791053, ""PROD::PRO_001718||SUP::SUP_0123"": 0.22861490056453093}","{""银行金融服务"": 0.6106073919147392, ""数字化商务服务"": 0.14548156210222116, ""金融信息服务"": 0.09712257991007611, ""人身保险"": 0.08847737808481032, ""数字社会"": 0.01805370951972022, ""汽车、摩托车、零配件和燃料及其他动力销售"": 0.01805370951972022, ""数字化社会工作"": 0.011101834474356385, ""房地产中介服务"": 0.011101834474356385}","{""互联网数据服务"": 0.5827354794604567, ""医院"": 0.08847737808481033, ""货币银行服务"": 0.08104517087312507, ""纺织、服装及家庭用品批发"": 0.06593164450553889, ""国家行政机构"": 0.0509011965365974, ""其他批发业"": 0.0503943736026057, ""不提供住宿社会工作"": 0.04440733789742555, ""金融信息服务"": 0.036107419039440446}"
PRO_000733,SUP_0053,PROD::PRO_000733||SUP::SUP_0053,1.2675665702485628,1.4725428606350293,0.6106073919147392,0.5827354794604567,11.505038350014733,"{""PROD::PRO_000732||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000731||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000734||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_003909||SUP::SUP_0256"": 0.45549334751367676, ""PROD::PRO_004608||SUP::SUP_0298"": 0.3717716217266013, ""PROD::PRO_000076||SUP::SUP_0028"": 0.3394249028731715, ""PROD::PRO_000078||SUP::SUP_0029"": 0.2620461512849318, ""PROD::PRO_001194||SUP::SUP_0084"": 0.25943695919766974, ""PROD::PRO_004154||SUP::SUP_0268"": 0.2313455422791053, ""PROD::PRO_001718||SUP::SUP_0123"": 0.22861490056453093}","{""银行金融服务"": 0.6106073919147392, ""数字化商务服务"": 0.14548156210222116, ""金融信息服务"": 0.09712257991007611, ""人身保险"": 0.08847737808481032, ""数字社会"": 0.01805370951972022, ""汽车、摩托车、零配件和燃料及其他动力销售"": 0.01805370951972022, ""数字化社会工作"": 0.011101834474356385, ""房地产中介服务"": 0.011101834474356385}","{""互联网数据服务"": 0.5827354794604567, ""医院"": 0.08847737808481033, ""货币银行服务"": 0.08104517087312507, ""纺织、服装及家庭用品批发"": 0.06593164450553889, ""国家行政机构"": 0.0509011965365974, ""其他批发业"": 0.0503943736026057, ""不提供住宿社会工作"": 0.04440733789742555, ""金融信息服务"": 0.036107419039440446}"
PRO_000734,SUP_0053,PROD::PRO_000734||SUP::SUP_0053,0.984541704498421,1.4725428606350293,0.7077299718248153,0.5827354794604567,11.634091244034801,"{""PROD::PRO_000732||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000731||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_000733||SUP::SUP_0053"": 0.9999999999999994, ""PROD::PRO_003909||SUP::SUP_0256"": 0.45549334751367676, ""PROD::PRO_004608||SUP::SUP_0298"": 0.3717716217266013, ""PROD::PRO_000076||SUP::SUP_0028"": 0.3394249028731715, ""PROD::PRO_000078||SUP::SUP_0029"": 0.2620461512849318, ""PROD::PRO_001194||SUP::SUP_0084"": 0.25943695919766974, ""PROD::PRO_004154||SUP::SUP_0268"": 0.2313455422791053, ""PROD::PRO_001718||SUP::SUP_0123"": 0.22861490056453093}","{""银行金融服务"": 0.7077299718248153, ""数字化商务服务"": 0.14548156210222116, ""人身保险"": 0.08847737808481032, ""数字社会"": 0.01805370951972022, ""汽车、摩托车、零配件和燃料及其他动力销售"": 0.01805370951972022, ""数字化社会工作"": 0.011101834474356385, ""房地产中介服务"": 0.011101834474356385}","{""互联网数据服务"": 0.5827354794604567, ""医院"": 0.08847737808481033, ""货币银行服务"": 0.08104517087312507, ""纺织、服装及家庭用品批发"": 0.06593164450553889, ""国家行政机构"": 0.0509011965365974, ""其他批发业"": 0.0503943736026057, ""不提供住宿社会工作"": 0.04440733789742555, ""金融信息服务"": 0.036107419039440446}"
PRO_000652,SUP_0038,PROD::PRO_000652||SUP::SUP_0038,1.8143419887435746,1.4502809212903283,0.23904656594463122,0.2958368234074021,7.41927457444839,"{""PROD::PRO_000656||SUP::SUP_0038"": 0.7821619872239886, ""PROD::PRO_000050||SUP::SUP_0019"": 0.7623640591309493, ""PROD::PRO_000647||SUP::SUP_0037"": 0.7524257874332074, ""PROD::PRO_003999||SUP::SUP_0266"": 0.7313796823178461, ""PROD::PRO_004624||SUP::SUP_0298"": 0.6974454226767912, ""PROD::PRO_000048||SUP::SUP_0019"": 0.666124744850169, ""PROD::PRO_004119||SUP::SUP_0266"": 0.6515897050403244, ""PROD::PRO_000651||SUP::SUP_0038"": 0.6384725219234986, ""PROD::PRO_000662||SUP::SUP_0038"": 0.6261866656898362, ""PROD::PRO_004575||SUP::SUP_0298"": 0.6182830860519543}","{""金融信息服务"": 0.23904656594463122, ""资本投资服务"": 0.19966543459123234, ""银行金融服务"": 0.1934187554990136, ""数字金融"": 0.14651803592758628, ""数字资本市场服务"": 0.11149504360036426, ""数字社会"": 0.08010140577429445, ""数字化商务服务"": 0.029754758662877984}","{""互联网数据服务"": 0.2958368234074021, ""其他未列明金融业"": 0.2955086664536475, ""货币银行服务"": 0.2539564859619376, ""国家行政机构"": 0.11006588618269579, ""金融信息服务"": 0.04463213799431697}"
PRO_000656,SUP_0038,PROD::PRO_000656||SUP::SUP_0038,0.6746817301447972,0.32186848573107996,0.5957901608782821,0.9014575812235671,13.002619179621158,"{""PROD::PRO_000651||SUP::SUP_0038"": 0.8884368193454192, ""PROD::PRO_000658||SUP::SUP_0038"": 0.875405046411778, ""PROD::PRO_000664||SUP::SUP_0038"": 0.8733490201057981, ""PROD::PRO_000663||SUP::SUP_0038"": 0.8694657924987577, ""PROD::PRO_000660||SUP::SUP_0038"": 0.8690132053479981, ""PROD::PRO_000662||SUP::SUP_0038"": 0.8576971701103137, ""PROD::PRO_003312||SUP::SUP_0175"": 0.837925572779301, ""PROD::PRO_000650||SUP::SUP_0038"": 0.8175927713517824, ""PROD::PRO_000661||SUP::SUP_0038"": 0.8135292233071533, ""PROD::PRO_000653||SUP::SUP_0038"": 0.8007821054258357}","{""银行金融服务"": 0.5957901608782821, ""金融信息服务"": 0.4042098391217179}","{""其他未列明金融业"": 0.9014575812235671, ""软件开发"": 0.09854241877643281}"
PRO_000651,SUP_0038,PROD::PRO_000651||SUP::SUP_0038,1.0793508068679842,0.32124671086513734,0.5075681427613942,0.9017382786439859,13.028542282891847,"{""PROD::PRO_000658||SUP::SUP_0038"": 0.9909681994118084, ""PROD::PRO_000663||SUP::SUP_0038"": 0.9886078987290058, ""PROD::PRO_000664||SUP::SUP_0038"": 0.9872625486950845, ""PROD::PRO_000660||SUP::SUP_0038"": 0.9780881766322073, ""PROD::PRO_000662||SUP::SUP_0038"": 0.9767438903531738, ""PROD::PRO_000661||SUP::SUP_0038"": 0.9396916027399297, ""PROD::PRO_003312||SUP::SUP_0175"": 0.9356337385240142, ""PROD::PRO_000650||SUP::SUP_0038"": 0.9240043709216947, ""PROD::PRO_000654||SUP::SUP_0038"": 0.9124164898789053, ""PROD::PRO_000656||SUP::SUP_0038"": 0.8884368193454192}","{""银行金融服务"": 0.5075681427613942, ""金融信息服务"": 0.34995593424348453, ""其他数字金融"": 0.09582340952192192, ""数字资本市场服务"": 0.046652513473199396}","{""其他未列明金融业"": 0.9017382786439859, ""软件开发"": 0.09826172135601408}"
PRO_000660,SUP_0038,PROD::PRO_000660||SUP::SUP_0038,1.0909076765860055,0.3158054555407415,0.45493581368942293,0.9041776930186411,12.889368492344012,"{""PROD::PRO_000658||SUP::SUP_0038"": 0.991980874006808, ""PROD::PRO_000662||SUP::SUP_0038"": 0.9844599688529359, ""PROD::PRO_000651||SUP::SUP_0038"": 0.9780881766322073, ""PROD::PRO_000663||SUP::SUP_0038"": 0.9741280094288367, ""PROD::PRO_000664||SUP::SUP_0038"": 0.9716677940773437, ""PROD::PRO_000661||SUP::SUP_0038"": 0.9068285667580315, ""PROD::PRO_003312||SUP::SUP_0175"": 0.8947122118598569, ""PROD::PRO_000654||SUP::SUP_0038"": 0.8872180062801754, ""PROD::PRO_000650||SUP::SUP_0038"": 0.8791049307496531, ""PROD::PRO_000656||SUP::SUP_0038"": 0.8690132053479981}","{""金融信息服务"": 0.45493581368942293, ""银行金融服务"": 0.4035095058835024, ""其他数字金融"": 0.0950196890466545, ""数字资本市场服务"": 0.046534991380420304}","{""其他未列明金融业"": 0.9041776930186411, ""软件开发"": 0.09582230698135877}"
PRO_000664,SUP_0038,PROD::PRO_000664||SUP::SUP_0038,1.075996753977667,0.3161275134363736,0.5083702402127805,0.9040341544216765,13.027387639870353,"{""PROD::PRO_000663||SUP::SUP_0038"": 0.9997163862899038, ""PROD::PRO_000651||SUP::SUP_0038"": 0.9872625486950845, ""PROD::PRO_000662||SUP::SUP_0038"": 0.9847497281853974, ""PROD::PRO_000658||SUP::SUP_0038"": 0.9759110173921036, ""PROD::PRO_000660||SUP::SUP_0038"": 0.9716677940773437, ""PROD::PRO_000661||SUP::SUP_0038"": 0.920655851021482, ""PROD::PRO_003312||SUP::SUP_0175"": 0.900066046533837, ""PROD::PRO_000650||SUP::SUP_0038"": 0.8874622802431105, ""PROD::PRO_000654||SUP::SUP_0038"": 0.8781841368527198, ""PROD::PRO_000656||SUP::SUP_0038"": 0.8733490201057981}","{""银行金融服务"": 0.5083702402127805, ""金融信息服务"": 0.35143835677607993, ""其他数字金融"": 0.09363277682908708, ""数字资本市场服务"": 0.046558626182052296}","{""其他未列明金融业"": 0.9040341544216765, ""软件开发"": 0.09596584557832356}"
