name,supplier,textemb_0,textemb_1,textemb_2,textemb_3,textemb_4,textemb_5,textemb_6,textemb_7,textemb_8,textemb_9,textemb_10,textemb_11,textemb_12,textemb_13,textemb_14,textemb_15,textemb_16,textemb_17,textemb_18,textemb_19,textemb_20,textemb_21,textemb_22,textemb_23,textemb_24,textemb_25,textemb_26,textemb_27,textemb_28,textemb_29,textemb_30,textemb_31,textemb_32,textemb_33,textemb_34,textemb_35,textemb_36,textemb_37,textemb_38,textemb_39,textemb_40,textemb_41,textemb_42,textemb_43,textemb_44,textemb_45,textemb_46,textemb_47,textemb_48,textemb_49
PRO_000010,SUP_0003,0.04175494180869157,0.03384391000634326,0.012361875368993115,0.030882558100633794,0.022749679222326943,0.01893468440500418,0.10922974753337285,-0.06550241228222112,-0.08725035829424263,-0.029218948628143265,0.025380352870266576,0.029095955564040953,0.0522899340583464,-0.10321976880556,-0.05522365362157944,-0.08158731380729976,-0.016793212041478822,0.015947932031673603,0.11063200500407537,-0.1361497477248526,0.09499790605952738,-0.09237815497226855,0.13937821059662836,0.00279889328577921,0.2132987375034238,-0.04777797592642199,-0.3256027789558642,0.0950126009322392,0.03238268000006759,0.18629271545054865,-0.03593960239055404,-0.11682142701999035,0.01809087913653886,0.026758324831339084,0.03604628493295261,0.00983225178853522,0.04543048746173052,0.10549937309140595,-0.014351927387545687,0.006275067282855293,-0.07538257487107518,-0.013907637623606845,-0.028308757313783524,0.03669240146502048,0.05621529481294207,-0.04085626416521459,-0.03388049236470559,0.06213485940713953,0.07132736849958267,0.0037384589600247785
PRO_000011,SUP_0003,0.012191548169662758,0.021149958362412125,0.010103069937680268,0.014103517968167814,0.007850964858711796,0.010279870423227293,0.06245708125672239,-0.02660680466024492,-0.04761266775274297,-0.011570569235978916,0.023244337619081325,0.02085938128053607,-0.0023655747607718627,-0.015465867492051076,-0.01804484267347163,-0.013493415714381762,-0.005226434702415301,0.01771540510487049,0.03746904255420651,-0.05059797152766075,0.02478981995179171,-0.05730680969944721,0.037028101707352316,-0.02620224314846508,0.0635104209936831,-0.003330848064423579,-0.11261682778795534,0.041708376283915265,-0.004576529001030137,0.06102349725469491,0.016139665675793006,-0.030160272905626097,-0.015172715395146098,0.007492684693002236,-0.004718252026019418,-0.021230138148529885,-0.01784181400246451,-0.010596487018864014,-0.04010181875017723,0.05537122210794423,-0.0243447044003447,0.005680918986794603,0.03869459495908853,-0.07930177598575085,0.10667165689668337,0.01759755618202425,0.08064398340671056,0.0023991421360838724,0.06589804448661354,0.00870753170603311
PRO_000012,SUP_0003,0.009575296592157426,0.021584375529055382,0.008447512975734456,0.0038782537179816046,0.005774159994050611,-0.0038825921803180338,0.03583044149064176,-0.02778340936683282,-0.0358108988272012,-0.013855306989335242,-0.01619340123431752,0.01793014685382065,-0.012991590745115762,-0.061051493058001505,-0.0324163369517616,-0.019876330919539283,-0.0031634525073678814,-0.0002023052787841079,0.05181546125590228,-0.05112203285339912,0.06749159028338793,-0.06353451286502883,0.05501572061133934,0.007011234062001666,0.1169275106597241,-0.02187098436056388,-0.19513855388278342,0.07435257614564027,0.013954483091930054,0.12918149226287734,-0.007939647099305495,-0.04816241977352242,-0.011353764631073248,0.05081491937941939,0.03003561569730948,-0.02693514145218326,0.02223221603501682,-0.00996144250299953,-0.01945248603729674,0.000956095546104375,-0.020549236100595066,0.0774099185272081,0.017097511924198925,-0.09318048317432422,0.11460844482599511,0.0053367742841317015,0.003557081175543145,0.10459160017843068,0.050821971277558727,-0.08093655608072675
PRO_000013,SUP_0003,0.008492194355241844,0.017851432055260564,0.006356062241660685,0.007718861591097645,0.005293012381690803,0.0067558573602383,0.03659586235811822,-0.03343879596698353,-0.0412563545967661,-0.008909604238662466,0.00034201087213129054,0.016490584001337148,0.009261499949250232,-0.07218148677118547,-0.007841457580904269,-0.03783247369486257,-0.009133663146183276,0.007629930287475709,0.068746756174612,-0.09225033897688857,0.08286382116648681,-0.08419584259733852,0.11009255453179541,-0.006324825103921154,0.16884556902957432,-0.02808565684781433,-0.2860524599552502,0.10246677999929744,0.01306245489864248,0.19885018668088966,-0.01847608656100618,-0.1032084943111896,0.02971659187089133,0.061912207766458144,0.030767597580635016,-0.06013954714266597,0.07015629654251779,0.0361176991654533,-0.019756518967795737,0.06103319015989088,-0.0755875861794196,0.07764215862022442,0.02367855493670768,-0.11916343729994879,0.11077371943614953,0.02786229688280487,-0.0016502859060372466,0.09650525739038485,0.0574195276416779,-0.14133482443278517
PRO_000014,SUP_0003,0.024823917329993124,0.022089857246198354,0.008225022231891112,0.01967903972226466,0.008557126591481355,0.01950943083511905,0.07748960455717335,-0.04767761615957899,-0.07208858885184201,-0.030970491726575195,0.021114542200777214,0.01745452093959176,0.023886381964627654,-0.07007183403959977,-0.0045479579134709465,-0.029079109621456337,0.005804520104332962,0.002893518704235713,0.056048596199433594,-0.06862127352249399,0.04313323517569406,-0.058338254818640765,0.06294985700810471,-0.01617226656221769,0.1781504010754998,-0.021917894758586215,-0.20701732176082177,0.06784224557629634,0.010534439144322436,0.13689099543345784,0.020576626221188096,-0.07556596704982592,0.026151981359463613,-0.05970498014756672,0.0236601793150091,0.06232274662308452,-0.07985739580655409,-0.04014223801462687,-0.06166211968656124,-0.04473502832036687,0.09257344113702086,-0.08341460156926235,0.0894766354627902,-0.030346107272891682,0.0440737551879705,0.03716845249070589,0.004687407684612864,-0.024088738013157963,-0.10446950182044473,-0.0009568760728863004
PRO_000015,SUP_0003,0.03178499338989055,0.014357468234583493,0.02420183395973572,0.026778911720570547,0.010181829470083685,0.015149997044251852,0.11202933040860139,-0.04702643583523335,-0.0791652473496595,-0.029191434345692664,0.009247684803068711,0.015915718415337086,0.03705129826411983,-0.11655784713149893,0.0006612544448625305,-0.02955362021982773,-0.001641099105399279,-0.008768521659403823,0.06555133605577589,-0.07101544839698948,0.028882570023896485,-0.0402148133897222,0.06410713018319825,-0.0013728502030533347,0.1738922813370878,-0.02541162141891818,-0.186994386554806,0.04233931918893436,0.02771614232446774,0.11381822072851262,0.0077140197857198745,-0.06967322221195754,0.02269798869278384,-0.08231933584330256,0.031649969346389376,0.06777156985867404,-0.0351154543895297,-0.04202870521112971,-0.021022179054754078,-0.04518144128042968,0.10020467935940686,-0.12195757181299578,0.0722200855533973,0.014077333466189154,0.004385908374069465,0.07170017859065557,-0.0013777125262384939,-0.0653953059614832,-0.09213317394778138,0.013702980883555961
PRO_000016,SUP_0003,0.041500428566445396,0.012801537783258177,0.018471489421746538,0.01035050532585076,0.009402398462925197,0.005532205165615592,0.06949575666972647,-0.048231783299220315,-0.06537787446483162,-0.03478757388904325,0.014595822627630735,0.017677068929504828,0.0005652824959550433,-0.055655928611184804,-0.004662286408498553,-0.022890550194773672,-0.01048809447226234,0.019263976400423898,0.05381380494837213,-0.054421076713765906,0.04050203732850217,-0.06451043749602439,0.049185403273328245,-0.02998800738164993,0.11496766539041996,-0.023298423429674725,-0.13194570982502557,0.03923973089539802,-0.010545546370005801,0.07230821009287185,0.008343543158659955,-0.024096417798897953,-0.0003920745687876895,-0.04645495485809841,0.02918948664539164,0.02838154890252976,-0.08231860053448939,-0.054324782866244654,-0.030570451630660984,-0.055003478955143424,0.08778243221951948,-0.10099270027529964,0.05775577642738304,-0.020869043258231065,0.028801442488218733,0.06560525449954926,0.04142983870390222,-0.029417355832730353,-0.10206786233893839,-0.03614688859520376
PRO_000017,SUP_0003,0.029746837615436526,0.01290479685266726,0.0063213127973642085,0.01300553031669842,0.007553581464877595,0.0252111647569686,0.07196426912721658,-0.03426232111122752,-0.060307037700757314,-0.036275443494295984,0.030617513217960867,0.024443064441083403,-0.007923429260678948,-0.043493040125203185,-0.015780469209744297,-0.0265709336688695,0.004030195063769046,0.0026470744444230983,0.056041871732704356,-0.052004683754605305,0.045768529726251894,-0.057087232444756504,0.044598072379371155,-0.025652291170280003,0.15971440554324537,-0.015635605907356416,-0.18311253028179036,0.03905781554570166,0.009636775486035426,0.11163944749482572,0.04379864341886573,-0.04976272482863902,0.027916358121748978,-0.0879147979662166,0.0405634102320716,0.04322797990281729,-0.10284944923838836,-0.05768677235034778,-0.06000149134230165,-0.0792255959828878,0.1486364754363215,-0.1292857220227022,0.10549077102200316,-0.04486291837437284,0.018126951529224673,0.08961349069418742,0.02374302905511166,-0.0425227078742934,-0.14926150459756268,-0.05972301250751868
PRO_000018,SUP_0003,0.003630144556058802,0.02422124498566092,-0.0006942679394171913,0.013773139806594784,0.003989250921445734,0.011380480589059602,0.04308409089820691,-0.026084435214815484,-0.04132996529962858,0.013677046425506868,0.011980449872526512,0.016174783110073466,0.009005906548292133,-0.046836248459216356,-0.021878313804008398,-0.03480131958830541,0.003642449837544625,0.002921183059646656,0.06323865635532647,-0.0695833659622649,0.054434422866947024,-0.05178882034623289,0.09391060307427367,-0.0020620996043716157,0.1163277900939486,-0.012548562078845076,-0.19399779924373448,0.05301163979367524,0.021567464110840817,0.12778474912745583,-0.006847092242705991,-0.0820750136366319,0.01794949149474135,0.00862471575337855,0.0030153288847249472,0.006710895418279598,-0.007781105478037856,0.07444858240141454,-0.02876646239241409,0.012477959201445142,-0.03990565083743565,-0.008997043632914332,0.02769625018113945,-0.010597816919072222,0.06493923790338714,-0.010917101573708411,-0.018306917270268314,0.05670231766022722,0.03742731072680585,0.0182310509376116
PRO_000019,SUP_0003,0.022802690528182817,0.007220336181882497,0.010147026211970698,0.01672387931417593,0.006393110539665041,0.011064554920697443,0.06916701345995153,-0.04255016362073838,-0.06298445813098842,-0.0372147658732161,0.015082758928525748,0.0171394563325653,0.010731030875252208,-0.05256604869604862,-0.020159947565684993,-0.03078072150834795,0.002064733551738555,0.004601827897018797,0.06283628560041055,-0.07033729631385745,0.04263195855796423,-0.06264160167269252,0.06200053052926895,-0.026049824531441158,0.19428149352110288,-0.02696542289420974,-0.22189328844955927,0.06674329655720483,0.011313481324155014,0.13890247280727397,0.033112728585502973,-0.06181808815881877,0.029202086493099084,-0.08957262379509731,0.02957981865469521,0.04807679198710549,-0.10301178248319734,-0.07774963927021909,-0.060517872652884656,-0.08057207686520622,0.16186613832711405,-0.12815631171053893,0.0948738167894197,-0.06307567443657569,0.0287585881021476,0.08396306927516348,0.029123512080961544,-0.05099051063710719,-0.14515277199820767,-0.020301944154106924
