src_name
金融信息服务
货币银行服务
气象服务
电信
互联网平台
法律服务
互联网批发零售
互联网数据服务
医疗仪器设备及器械制造
国家行政机构
专用仪器仪表制造
燃气生产和供应业
电车制造
医药及医疗器材批发
其他商务服务业
医院
输配电及控制设备制造
人民法院和人民检察院
航空客货运输
人身保险
知识产权服务
道路运输辅助活动
汽车用发动机制造
其他未列明金融业
道路货物运输
互联网信息服务
综合零售
软件开发
工程和技术研究和试验发展
测绘地理信息服务
智能交通
非金融机构支付服务
中成药生产
航空运输辅助活动
砖瓦、石材等建筑材料制造
互联网相关服务
数字政府
组织管理服务
其他卫生活动
证券市场服务
非货币银行服务
专业公共卫生服务
电池制造
生物药品制品制造
互联网安全服务
化学药品制剂制造
谷物种植
其他房地产业
高等教育
汽车整车制造
城市公共交通运输
其他保险活动
婚姻服务
其他信息技术服务业
环境治理业
房地产开发经营
人力资源服务
非公开募集证券投资基金
其他社会保障
化学药品原料药制造
智能制造
其他金融业
公路旅客运输
通用仪器仪表制造
贸易经纪与代理
电力供应
其他房屋建筑业
中药材种植
保险中介服务
银行理财服务
其他未列明建筑业
棉、麻、糖、烟草种植
其他土地管理服务
铁路、道路、隧道和桥梁工程建筑
其他食品制造
工程技术与设计服务
医学研究和试验发展
农业专业及辅助性活动
水果种植
日用化学产品制造
药用辅料及包装材料制造
环境与生态监测检测服务
数字商贸
汽车零部件及配件制造
出版业
电机制造
财产保险
其他机械和设备修理业
运输代理业
基层医疗卫生服务
自然科学研究和试验发展
其他未列明制造业
汽车、摩托车等修理与维护
其他资本市场服务
自来水生产和供应
基本保险
新闻业
豆类、油料和薯类种植
蔬菜、食用菌及园艺作物种植
牲畜饲养
家禽饲养
水产养殖
房地产中介服务
基础化学原料制造
其他电气机械及器材制造
其他通用设备制造业
铸造及其他金属制品制造
专用化学产品制造
信息技术服务
农、林、牧、渔产品批发
广告业
纺织、服装及家庭用品批发
卫星传输服务
其他批发业
互联网金融
合成材料制造
村民自治组织
互联网零售
住宅房屋建筑
卫生材料及医药用品制造
机械设备、五金产品及电子产品批发
安全保护服务
中药饮片加工
其他未列明服务业
通信设备制造
保健食品制造
国际组织
补充保险
土地调查评估服务
智慧物流
土地整治服务
基金会
社会团体
针织或钩针编织物及其制品制造
其他土木工程建筑
技能培训、教育辅助及其他教育
纺织、服装及日用品专门零售
水产捕捞
正餐服务
土地登记服务
食品、饮料及烟草制品专门零售
房地产租赁经营
其他科技推广服务业
汽车、摩托车、零配件和燃料及其他动力销售
创业空间服务
水上运输辅助活动
旅游饭店
其他采矿业
炸药、火工及焰火产品制造
石油开采
炼铁
常用有色金属冶炼
水泥、石灰和石膏制造
金属加工机械制造
棉纺织及印染精加工
卷烟制造
科技中介服务
理发及美容服务
电力生产
橡胶制品业
塑料制品业
物业管理
信息技术咨询服务
其他互联网服务
多式联运
水上货物运输
电信(源)
软件开发(源)
信息技术服务(源)
智能制造(源)
其他数字化效率提升业(源)
技术推广服务
烟煤和无烟煤开采洗选
数字金融
市政设施管理
水文服务
快递服务
畜牧专业及辅助性活动
咨询与调查
游览景区管理
商务服务业
生态保护
其他电子设备制造
环境卫生管理
节能环保工程施工
其他零售业
其他农业
工矿工程建筑
建筑装饰和装修业
一般旅馆
其他餐饮业
信息技术服务业
煤炭加工
涂料、油墨、颜料及类似产品制造
植物油加工
肥料制造
饲料加工
林木育种和育苗
纸浆制造
生物质燃料加工
金属废料和碎屑加工处理
家用电力器具制造
矿产品、建材及化工产品批发
钢压延加工
信息处理和存储支持服务
宠物服务
污水处理及其再生利用
智慧交通
不提供住宿社会工作
摩托车制造
天然气开采
电子器件制造
智慧农业
家用电器及电子产品专门零售
资本投资服务
水资源管理
其他仓储业
质检技术服务
广播电视传输服务
其他文化艺术业
机械设备经营租赁
智能消费设备制造
林产品采集
其他开采专业及辅助性活动
工艺美术及礼仪用品制造
图书馆与档案馆
其他水利管理业
彩票活动
期货市场服务
数字社会
水利和水运工程建筑
医药及医疗器材专门零售
热力生产和供应
铁路运输设备制造
低温仓储
初等教育
计算机制造
中等教育
通用仓储
邮政基本服务
食品及饲料添加剂制造
兽用药品制造
公开募集证券投资基金
其他娱乐业
餐饮配送及外卖送餐服务
精炼石油产品制造
信息系统集成和物联网技术服务
城乡市容管理
森林经营、管护和改培
金融服务
货摊、无店铺及其他零售业
陶瓷制品制造
金属制日用品制造
木质家具制造
其他煤炭采选
休闲观光活动
智能设备制造
文化体育娱乐活动与经纪代理服务
电子元件及电子专用材料制造
非专业视听设备制造
铁路旅客运输
航空、航天器及设备制造
广播
电视
通用航空服务
道路运输
洗浴和保健养生服务
林业专业及辅助性活动
五金、家具及室内装饰材料专门零售
群众团体
文化、体育用品及器材专门零售
珠宝首饰及有关物品制造
环保、邮政、社会公共服务及其他专用设备制造
水泥制造
铁路运输辅助活动
学前教育
殡葬服务
数据资源与产权交易
文物及非物质文化遗产保护
民宿服务
露营地服务
其他住宿业
会议、展览及相关服务
其他居民服务业
非金属废料和碎屑加工处理
科技推广服务业
生物基材料制造
渔业专业及辅助性活动
文艺创作与表演
水产品加工
船舶及相关装置制造
装卸搬运
社会保障
租赁和商务服务业
电影放映
家庭服务
其他日用产品修理业
其他家具制造
海洋服务
坚果、含油果、香料和饮料作物种植
雷达及配套设备制造
